algo_name,Pretty Name,task,metric,type,value
adaptive_sampling_eta_0.1,Adaptive Sampling,1,CLIP Score,erased,22.1403
first_timestep,First Timestep,1,CLIP Score,erased,22.1083
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",1,CLIP Score,erased,22.0911
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",1,CLIP Score,erased,21.9108
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",1,CLIP Score,erased,22.1189
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",1,CLIP Score,erased,22.0953
importance_sampling,Baseline (Importance Sampling),1,CLIP Score,erased,21.9528
importance_sampling_large,Forget-then-Finteune (Large),1,CLIP Score,erased,24.1097
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),1,CLIP Score,erased,24.5724
importance_sampling_random_all,Forget-then-Finteune (Random),1,CLIP Score,erased,23.2203
importance_sampling_similar_all,Forget-then-Finetune (Similar),1,CLIP Score,erased,24.7586
importance_sampling_similar_specific,Forget-then-Finetune (Similar Specific),1,CLIP Score,erased,25.0136
last_timestep_sampling,Last Timestep,1,CLIP Score,erased,21.944
adaptive_sampling_eta_0.1,Adaptive Sampling,1,CLIP Score,others,15.5728
first_timestep,First Timestep,1,CLIP Score,others,15.674
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",1,CLIP Score,others,15.6446
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",1,CLIP Score,others,15.5865
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",1,CLIP Score,others,15.9646
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",1,CLIP Score,others,15.6396
importance_sampling,Baseline (Importance Sampling),1,CLIP Score,others,15.5986
importance_sampling_large,Forget-then-Finteune (Large),1,CLIP Score,others,16.4443
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),1,CLIP Score,others,16.6162
importance_sampling_random_all,Forget-then-Finteune (Random),1,CLIP Score,others,16.477
importance_sampling_similar_all,Forget-then-Finetune (Similar),1,CLIP Score,others,16.5698
importance_sampling_similar_specific,Forget-then-Finetune (Similar Specific),1,CLIP Score,others,16.2187
last_timestep_sampling,Last Timestep,1,CLIP Score,others,15.765
adaptive_sampling_eta_0.1,Adaptive Sampling,5,CLIP Score,erased,17.8311
first_timestep,First Timestep,5,CLIP Score,erased,17.9702
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",5,CLIP Score,erased,17.7195
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",5,CLIP Score,erased,17.5001
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",5,CLIP Score,erased,17.9363
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",5,CLIP Score,erased,18.0953
importance_sampling,Baseline (Importance Sampling),5,CLIP Score,erased,17.6066
importance_sampling_large,Forget-then-Finteune (Large),5,CLIP Score,erased,18.5904
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),5,CLIP Score,erased,18.6337
importance_sampling_random_all,Forget-then-Finteune (Random),5,CLIP Score,erased,18.0726
importance_sampling_similar_all,Forget-then-Finetune (Similar),5,CLIP Score,erased,18.7775
importance_sampling_similar_specific,Forget-then-Finetune (Similar Specific),5,CLIP Score,erased,18.5022
last_timestep_sampling,Last Timestep,5,CLIP Score,erased,17.7492
adaptive_sampling_eta_0.1,Adaptive Sampling,5,CLIP Score,others,15.8851
first_timestep,First Timestep,5,CLIP Score,others,15.5863
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",5,CLIP Score,others,15.5623
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",5,CLIP Score,others,15.787
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",5,CLIP Score,others,15.6589
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",5,CLIP Score,others,15.583
importance_sampling,Baseline (Importance Sampling),5,CLIP Score,others,15.7465
importance_sampling_large,Forget-then-Finteune (Large),5,CLIP Score,others,16.5787
