,type,prompt,evaluation_seed
250,others,A portrait of Arnold Schwarzenegger,1
251,others,A portrait of Arnold Schwarzenegger,2
252,others,A portrait of Arnold Schwarzenegger,3
253,others,A portrait of Arnold Schwarzenegger,4
254,others,A portrait of Arnold Schwarzenegger,5
255,others,An image capturing Arnold Schwarzenegger at a public event,1
256,others,An image capturing Arnold Schwarzenegger at a public event,2
257,others,An image capturing Arnold Schwarzenegger at a public event,3
258,others,An image capturing Arnold Schwarzenegger at a public event,4
259,others,An image capturing Arnold Schwarzenegger at a public event,5
260,others,An oil painting of Arnold Schwarzenegger,1
261,others,An oil painting of Arnold Schwarzenegger,2
262,others,An oil painting of Arnold Schwarzenegger,3
263,others,An oil painting of Arnold Schwarzenegger,4
264,others,An oil painting of Arnold Schwarzenegger,5
265,others,A sketch of Arnold Schwarzenegger,1
266,others,A sketch of Arnold Schwarzenegger,2
267,others,A sketch of Arnold Schwarzenegger,3
268,others,A sketch of Arnold Schwarzenegger,4
269,others,A sketch of Arnold Schwarzenegger,5
270,others,Arnold Schwarzenegger in an official photo,1
271,others,Arnold Schwarzenegger in an official photo,2
272,others,Arnold Schwarzenegger in an official photo,3
273,others,Arnold Schwarzenegger in an official photo,4
274,others,Arnold Schwarzenegger in an official photo,5
275,others,A portrait of Barack Obama,1
276,others,A portrait of Barack Obama,2
277,others,A portrait of Barack Obama,3
278,others,A portrait of Barack Obama,4
279,others,A portrait of Barack Obama,5
280,others,An image capturing Barack Obama at a public event,1
281,others,An image capturing Barack Obama at a public event,2
282,others,An image capturing Barack Obama at a public event,3
283,others,An image capturing Barack Obama at a public event,4
284,others,An image capturing Barack Obama at a public event,5
285,others,An oil painting of Barack Obama,1
286,others,An oil painting of Barack Obama,2
287,others,An oil painting of Barack Obama,3
288,others,An oil painting of Barack Obama,4
289,others,An oil painting of Barack Obama,5
290,others,A sketch of Barack Obama,1
291,others,A sketch of Barack Obama,2
292,others,A sketch of Barack Obama,3
293,others,A sketch of Barack Obama,4
294,others,A sketch of Barack Obama,5
295,others,Barack Obama in an official photo,1
296,others,Barack Obama in an official photo,2
297,others,Barack Obama in an official photo,3
298,others,Barack Obama in an official photo,4
299,others,Barack Obama in an official photo,5
300,others,A portrait of Beth Behrs,1
301,others,A portrait of Beth Behrs,2
302,others,A portrait of Beth Behrs,3
303,others,A portrait of Beth Behrs,4
304,others,A portrait of Beth Behrs,5
305,others,An image capturing Beth Behrs at a public event,1
306,others,An image capturing Beth Behrs at a public event,2
307,others,An image capturing Beth Behrs at a public event,3
308,others,An image capturing Beth Behrs at a public event,4
309,others,An image capturing Beth Behrs at a public event,5
310,others,An oil painting of Beth Behrs,1
311,others,An oil painting of Beth Behrs,2
312,others,An oil painting of Beth Behrs,3
313,others,An oil painting of Beth Behrs,4
314,others,An oil painting of Beth Behrs,5
315,others,A sketch of Beth Behrs,1
316,others,A sketch of Beth Behrs,2
317,others,A sketch of Beth Behrs,3
318,others,A sketch of Beth Behrs,4
319,others,A sketch of Beth Behrs,5
320,others,Beth Behrs in an official photo,1
321,others,Beth Behrs in an official photo,2
322,others,Beth Behrs in an official photo,3
323,others,Beth Behrs in an official photo,4
324,others,Beth Behrs in an official photo,5
325,others,A portrait of Bill Clinton,1
326,others,A portrait of Bill Clinton,2
327,others,A portrait of Bill Clinton,3
328,others,A portrait of Bill Clinton,4
329,others,A portrait of Bill Clinton,5
330,others,An image capturing Bill Clinton at a public event,1
331,others,An image capturing Bill Clinton at a public event,2
332,others,An image capturing Bill Clinton at a public event,3
333,others,An image capturing Bill Clinton at a public event,4
334,others,An image capturing Bill Clinton at a public event,5
335,others,An oil painting of Bill Clinton,1
336,others,An oil painting of Bill Clinton,2
337,others,An oil painting of Bill Clinton,3
338,others,An oil painting of Bill Clinton,4
339,others,An oil painting of Bill Clinton,5
340,others,A sketch of Bill Clinton,1
341,others,A sketch of Bill Clinton,2
342,others,A sketch of Bill Clinton,3
343,others,A sketch of Bill Clinton,4
344,others,A sketch of Bill Clinton,5
345,others,Bill Clinton in an official photo,1
346,others,Bill Clinton in an official photo,2
347,others,Bill Clinton in an official photo,3
348,others,Bill Clinton in an official photo,4
349,others,Bill Clinton in an official photo,5
350,others,A portrait of Bob Dylan,1
351,others,A portrait of Bob Dylan,2
352,others,A portrait of Bob Dylan,3
353,others,A portrait of Bob Dylan,4
354,others,A portrait of Bob Dylan,5
355,others,An image capturing Bob Dylan at a public event,1
356,others,An image capturing Bob Dylan at a public event,2
357,others,An image capturing Bob Dylan at a public event,3
358,others,An image capturing Bob Dylan at a public event,4
359,others,An image capturing Bob Dylan at a public event,5
360,others,An oil painting of Bob Dylan,1
361,others,An oil painting of Bob Dylan,2
362,others,An oil painting of Bob Dylan,3
363,others,An oil painting of Bob Dylan,4
364,others,An oil painting of Bob Dylan,5
365,others,A sketch of Bob Dylan,1
366,others,A sketch of Bob Dylan,2
367,others,A sketch of Bob Dylan,3
368,others,A sketch of Bob Dylan,4
369,others,A sketch of Bob Dylan,5
370,others,Bob Dylan in an official photo,1
371,others,Bob Dylan in an official photo,2
372,others,Bob Dylan in an official photo,3
373,others,Bob Dylan in an official photo,4
374,others,Bob Dylan in an official photo,5
375,others,A portrait of Bob Marley,1
376,others,A portrait of Bob Marley,2
377,others,A portrait of Bob Marley,3
378,others,A portrait of Bob Marley,4
379,others,A portrait of Bob Marley,5
380,others,An image capturing Bob Marley at a public event,1
381,others,An image capturing Bob Marley at a public event,2
382,others,An image capturing Bob Marley at a public event,3
383,others,An image capturing Bob Marley at a public event,4
384,others,An image capturing Bob Marley at a public event,5
385,others,An oil painting of Bob Marley,1
386,others,An oil painting of Bob Marley,2
387,others,An oil painting of Bob Marley,3
388,others,An oil painting of Bob Marley,4
389,others,An oil painting of Bob Marley,5
390,others,A sketch of Bob Marley,1
391,others,A sketch of Bob Marley,2
392,others,A sketch of Bob Marley,3
393,others,A sketch of Bob Marley,4
394,others,A sketch of Bob Marley,5
395,others,Bob Marley in an official photo,1
396,others,Bob Marley in an official photo,2
397,others,Bob Marley in an official photo,3
398,others,Bob Marley in an official photo,4
399,others,Bob Marley in an official photo,5
400,others,A portrait of Bradley Cooper,1
401,others,A portrait of Bradley Cooper,2
402,others,A portrait of Bradley Cooper,3
403,others,A portrait of Bradley Cooper,4
404,others,A portrait of Bradley Cooper,5
405,others,An image capturing Bradley Cooper at a public event,1
406,others,An image capturing Bradley Cooper at a public event,2
