,type,prompt,evaluation_seed
250,others,A watercolor painting depicting Arnold Schwarzenegger,1
251,others,A watercolor painting depicting Arnold Schwarzenegger,2
252,others,A watercolor painting depicting Arnold Schwarzenegger,3
253,others,A watercolor painting depicting Arnold Schwarzenegger,4
254,others,A watercolor painting depicting Arnold Schwarzenegger,5
255,others,A digital artwork of Arnold Schwarzenegger at a public event,1
256,others,A digital artwork of Arnold Schwarzenegger at a public event,2
257,others,A digital artwork of Arnold Schwarzenegger at a public event,3
258,others,A digital artwork of Arnold Schwarzenegger at a public event,4
259,others,A digital artwork of Arnold Schwarzenegger at a public event,5
260,others,A surrealistic artwork of Arnold Schwarzenegger,1
261,others,A surrealistic artwork of Arnold Schwarzenegger,2
262,others,A surrealistic artwork of Arnold Schwarzenegger,3
263,others,A surrealistic artwork of Arnold Schwarzenegger,4
264,others,A surrealistic artwork of Arnold Schwarzenegger,5
265,others,A charcoal drawing of Arnold Schwarzenegger,1
266,others,A charcoal drawing of Arnold Schwarzenegger,2
267,others,A charcoal drawing of Arnold Schwarzenegger,3
268,others,A charcoal drawing of Arnold Schwarzenegger,4
269,others,A charcoal drawing of Arnold Schwarzenegger,5
270,others,Arnold Schwarzenegger in a noir-style black and white photograph,1
271,others,Arnold Schwarzenegger in a noir-style black and white photograph,2
272,others,Arnold Schwarzenegger in a noir-style black and white photograph,3
273,others,Arnold Schwarzenegger in a noir-style black and white photograph,4
274,others,Arnold Schwarzenegger in a noir-style black and white photograph,5
275,others,A watercolor painting depicting Barack Obama,1
276,others,A watercolor painting depicting Barack Obama,2
277,others,A watercolor painting depicting Barack Obama,3
278,others,A watercolor painting depicting Barack Obama,4
279,others,A watercolor painting depicting Barack Obama,5
280,others,A digital artwork of Barack Obama at a public event,1
281,others,A digital artwork of Barack Obama at a public event,2
282,others,A digital artwork of Barack Obama at a public event,3
283,others,A digital artwork of Barack Obama at a public event,4
284,others,A digital artwork of Barack Obama at a public event,5
285,others,A surrealistic artwork of Barack Obama,1
286,others,A surrealistic artwork of Barack Obama,2
287,others,A surrealistic artwork of Barack Obama,3
288,others,A surrealistic artwork of Barack Obama,4
289,others,A surrealistic artwork of Barack Obama,5
290,others,A charcoal drawing of Barack Obama,1
291,others,A charcoal drawing of Barack Obama,2
292,others,A charcoal drawing of Barack Obama,3
293,others,A charcoal drawing of Barack Obama,4
294,others,A charcoal drawing of Barack Obama,5
295,others,Barack Obama in a noir-style black and white photograph,1
296,others,Barack Obama in a noir-style black and white photograph,2
297,others,Barack Obama in a noir-style black and white photograph,3
298,others,Barack Obama in a noir-style black and white photograph,4
299,others,Barack Obama in a noir-style black and white photograph,5
300,others,A watercolor painting depicting Beth Behrs,1
301,others,A watercolor painting depicting Beth Behrs,2
302,others,A watercolor painting depicting Beth Behrs,3
303,others,A watercolor painting depicting Beth Behrs,4
304,others,A watercolor painting depicting Beth Behrs,5
305,others,A digital artwork of Beth Behrs at a public event,1
306,others,A digital artwork of Beth Behrs at a public event,2
307,others,A digital artwork of Beth Behrs at a public event,3
308,others,A digital artwork of Beth Behrs at a public event,4
309,others,A digital artwork of Beth Behrs at a public event,5
310,others,A surrealistic artwork of Beth Behrs,1
311,others,A surrealistic artwork of Beth Behrs,2
312,others,A surrealistic artwork of Beth Behrs,3
313,others,A surrealistic artwork of Beth Behrs,4
314,others,A surrealistic artwork of Beth Behrs,5
315,others,A charcoal drawing of Beth Behrs,1
316,others,A charcoal drawing of Beth Behrs,2
317,others,A charcoal drawing of Beth Behrs,3
318,others,A charcoal drawing of Beth Behrs,4
319,others,A charcoal drawing of Beth Behrs,5
320,others,Beth Behrs in a noir-style black and white photograph,1
321,others,Beth Behrs in a noir-style black and white photograph,2
322,others,Beth Behrs in a noir-style black and white photograph,3
323,others,Beth Behrs in a noir-style black and white photograph,4
324,others,Beth Behrs in a noir-style black and white photograph,5
325,others,A watercolor painting depicting Bill Clinton,1
326,others,A watercolor painting depicting Bill Clinton,2
327,others,A watercolor painting depicting Bill Clinton,3
328,others,A watercolor painting depicting Bill Clinton,4
329,others,A watercolor painting depicting Bill Clinton,5
330,others,A digital artwork of Bill Clinton at a public event,1
331,others,A digital artwork of Bill Clinton at a public event,2
332,others,A digital artwork of Bill Clinton at a public event,3
333,others,A digital artwork of Bill Clinton at a public event,4
