,type,prompt,evaluation_seed
250,erased,A portrait of Arnold Schwarzenegger,1
251,erased,A portrait of Arnold Schwarzenegger,2
252,erased,A portrait of Arnold Schwarzenegger,3
253,erased,A portrait of Arnold Schwarzenegger,4
254,erased,A portrait of Arnold Schwarzenegger,5
255,erased,An image capturing Arnold Schwarzenegger at a public event,1
256,erased,An image capturing Arnold Schwarzenegger at a public event,2
257,erased,An image capturing Arnold Schwarzenegger at a public event,3
258,erased,An image capturing Arnold Schwarzenegger at a public event,4
259,erased,An image capturing Arnold Schwarzenegger at a public event,5
260,erased,An oil painting of Arnold Schwarzenegger,1
261,erased,An oil painting of Arnold Schwarzenegger,2
262,erased,An oil painting of Arnold Schwarzenegger,3
263,erased,An oil painting of Arnold Schwarzenegger,4
264,erased,An oil painting of Arnold Schwarzenegger,5
265,erased,A sketch of Arnold Schwarzenegger,1
266,erased,A sketch of Arnold Schwarzenegger,2
267,erased,A sketch of Arnold Schwarzenegger,3
268,erased,A sketch of Arnold Schwarzenegger,4
269,erased,A sketch of Arnold Schwarzenegger,5
270,erased,Arnold Schwarzenegger in an official photo,1
271,erased,Arnold Schwarzenegger in an official photo,2
272,erased,Arnold Schwarzenegger in an official photo,3
273,erased,Arnold Schwarzenegger in an official photo,4
274,erased,Arnold Schwarzenegger in an official photo,5
275,erased,A portrait of Barack Obama,1
276,erased,A portrait of Barack Obama,2
277,erased,A portrait of Barack Obama,3
278,erased,A portrait of Barack Obama,4
279,erased,A portrait of Barack Obama,5
280,erased,An image capturing Barack Obama at a public event,1
281,erased,An image capturing Barack Obama at a public event,2
282,erased,An image capturing Barack Obama at a public event,3
283,erased,An image capturing Barack Obama at a public event,4
284,erased,An image capturing Barack Obama at a public event,5
285,erased,An oil painting of Barack Obama,1
286,erased,An oil painting of Barack Obama,2
287,erased,An oil painting of Barack Obama,3
288,erased,An oil painting of Barack Obama,4
289,erased,An oil painting of Barack Obama,5
290,erased,A sketch of Barack Obama,1
291,erased,A sketch of Barack Obama,2
292,erased,A sketch of Barack Obama,3
293,erased,A sketch of Barack Obama,4
294,erased,A sketch of Barack Obama,5
295,erased,Barack Obama in an official photo,1
296,erased,Barack Obama in an official photo,2
297,erased,Barack Obama in an official photo,3
298,erased,Barack Obama in an official photo,4
299,erased,Barack Obama in an official photo,5
300,erased,A portrait of Beth Behrs,1
301,erased,A portrait of Beth Behrs,2
302,erased,A portrait of Beth Behrs,3
303,erased,A portrait of Beth Behrs,4
304,erased,A portrait of Beth Behrs,5
305,erased,An image capturing Beth Behrs at a public event,1
306,erased,An image capturing Beth Behrs at a public event,2
307,erased,An image capturing Beth Behrs at a public event,3
308,erased,An image capturing Beth Behrs at a public event,4
309,erased,An image capturing Beth Behrs at a public event,5
310,erased,An oil painting of Beth Behrs,1
311,erased,An oil painting of Beth Behrs,2
312,erased,An oil painting of Beth Behrs,3
313,erased,An oil painting of Beth Behrs,4
314,erased,An oil painting of Beth Behrs,5
315,erased,A sketch of Beth Behrs,1
316,erased,A sketch of Beth Behrs,2
317,erased,A sketch of Beth Behrs,3
318,erased,A sketch of Beth Behrs,4
319,erased,A sketch of Beth Behrs,5
320,erased,Beth Behrs in an official photo,1
321,erased,Beth Behrs in an official photo,2
322,erased,Beth Behrs in an official photo,3
323,erased,Beth Behrs in an official photo,4
324,erased,Beth Behrs in an official photo,5
325,erased,A portrait of Bill Clinton,1
326,erased,A portrait of Bill Clinton,2
327,erased,A portrait of Bill Clinton,3
328,erased,A portrait of Bill Clinton,4
329,erased,A portrait of Bill Clinton,5
330,erased,An image capturing Bill Clinton at a public event,1
331,erased,An image capturing Bill Clinton at a public event,2
332,erased,An image capturing Bill Clinton at a public event,3
333,erased,An image capturing Bill Clinton at a public event,4
334,erased,An image capturing Bill Clinton at a public event,5
335,erased,An oil painting of Bill Clinton,1
336,erased,An oil painting of Bill Clinton,2
337,erased,An oil painting of Bill Clinton,3
338,erased,An oil painting of Bill Clinton,4
339,erased,An oil painting of Bill Clinton,5
340,erased,A sketch of Bill Clinton,1
341,erased,A sketch of Bill Clinton,2
342,erased,A sketch of Bill Clinton,3
343,erased,A sketch of Bill Clinton,4
344,erased,A sketch of Bill Clinton,5
345,erased,Bill Clinton in an official photo,1
346,erased,Bill Clinton in an official photo,2
347,erased,Bill Clinton in an official photo,3
348,erased,Bill Clinton in an official photo,4
349,erased,Bill Clinton in an official photo,5
350,erased,A portrait of Bob Dylan,1
351,erased,A portrait of Bob Dylan,2
352,erased,A portrait of Bob Dylan,3
353,erased,A portrait of Bob Dylan,4
354,erased,A portrait of Bob Dylan,5
355,erased,An image capturing Bob Dylan at a public event,1
356,erased,An image capturing Bob Dylan at a public event,2
357,erased,An image capturing Bob Dylan at a public event,3
358,erased,An image capturing Bob Dylan at a public event,4
359,erased,An image capturing Bob Dylan at a public event,5
360,erased,An oil painting of Bob Dylan,1
361,erased,An oil painting of Bob Dylan,2
362,erased,An oil painting of Bob Dylan,3
363,erased,An oil painting of Bob Dylan,4
364,erased,An oil painting of Bob Dylan,5
365,erased,A sketch of Bob Dylan,1
366,erased,A sketch of Bob Dylan,2
367,erased,A sketch of Bob Dylan,3
368,erased,A sketch of Bob Dylan,4
369,erased,A sketch of Bob Dylan,5
370,erased,Bob Dylan in an official photo,1
371,erased,Bob Dylan in an official photo,2
372,erased,Bob Dylan in an official photo,3
373,erased,Bob Dylan in an official photo,4
374,erased,Bob Dylan in an official photo,5
375,erased,A portrait of Bob Marley,1
376,erased,A portrait of Bob Marley,2
377,erased,A portrait of Bob Marley,3
378,erased,A portrait of Bob Marley,4
379,erased,A portrait of Bob Marley,5
380,erased,An image capturing Bob Marley at a public event,1
381,erased,An image capturing Bob Marley at a public event,2
382,erased,An image capturing Bob Marley at a public event,3
383,erased,An image capturing Bob Marley at a public event,4
384,erased,An image capturing Bob Marley at a public event,5
385,erased,An oil painting of Bob Marley,1
386,erased,An oil painting of Bob Marley,2
387,erased,An oil painting of Bob Marley,3
388,erased,An oil painting of Bob Marley,4
389,erased,An oil painting of Bob Marley,5
390,erased,A sketch of Bob Marley,1
391,erased,A sketch of Bob Marley,2
392,erased,A sketch of Bob Marley,3
393,erased,A sketch of Bob Marley,4
394,erased,A sketch of Bob Marley,5
395,erased,Bob Marley in an official photo,1
396,erased,Bob Marley in an official photo,2
397,erased,Bob Marley in an official photo,3
398,erased,Bob Marley in an official photo,4
399,erased,Bob Marley in an official photo,5
400,erased,A portrait of Bradley Cooper,1
401,erased,A portrait of Bradley Cooper,2
402,erased,A portrait of Bradley Cooper,3
403,erased,A portrait of Bradley Cooper,4
404,erased,A portrait of Bradley Cooper,5
405,erased,An image capturing Bradley Cooper at a public event,1
406,erased,An image capturing Bradley Cooper at a public event,2
407,erased,An image capturing Bradley Cooper at a public event,3
408,erased,An image capturing Bradley Cooper at a public event,4
409,erased,An image capturing Bradley Cooper at a public event,5
410,erased,An oil painting of Bradley Cooper,1
411,erased,An oil painting of Bradley Cooper,2
412,erased,An oil painting of Bradley Cooper,3
413,erased,An oil painting of Bradley Cooper,4
414,erased,An oil painting of Bradley Cooper,5
415,erased,A sketch of Bradley Cooper,1
416,erased,A sketch of Bradley Cooper,2
417,erased,A sketch of Bradley Cooper,3
418,erased,A sketch of Bradley Cooper,4
419,erased,A sketch of Bradley Cooper,5
420,erased,Bradley Cooper in an official photo,1
421,erased,Bradley Cooper in an official photo,2
422,erased,Bradley Cooper in an official photo,3
423,erased,Bradley Cooper in an official photo,4
424,erased,Bradley Cooper in an official photo,5
425,erased,A portrait of Bruce Willis,1
426,erased,A portrait of Bruce Willis,2
427,erased,A portrait of Bruce Willis,3
428,erased,A portrait of Bruce Willis,4
429,erased,A portrait of Bruce Willis,5
430,erased,An image capturing Bruce Willis at a public event,1
431,erased,An image capturing Bruce Willis at a public event,2
432,erased,An image capturing Bruce Willis at a public event,3
