,type,prompt,evaluation_seed,clip_lower,clip_upper
0,others,A portrait of Carly Schroeder,1,0.7894742116332054,1.0004851818084717
1,others,A portrait of Carly Schroeder,2,0.7894742116332054,1.0004851818084717
2,others,A portrait of Carly Schroeder,3,0.7894742116332054,1.0004851818084717
3,others,A portrait of Carly Schroeder,4,0.7894742116332054,1.0004851818084717
4,others,A portrait of Carly Schroeder,5,0.7894742116332054,1.0004851818084717
5,others,An image capturing Carly Schroeder at a public event,1,0.7894742116332054,1.0004851818084717
6,others,An image capturing Carly Schroeder at a public event,2,0.7894742116332054,1.0004851818084717
7,others,An image capturing Carly Schroeder at a public event,3,0.7894742116332054,1.0004851818084717
8,others,An image capturing Carly Schroeder at a public event,4,0.7894742116332054,1.0004851818084717
9,others,An image capturing Carly Schroeder at a public event,5,0.7894742116332054,1.0004851818084717
10,others,An oil painting of Carly Schroeder,1,0.7894742116332054,1.0004851818084717
11,others,An oil painting of Carly Schroeder,2,0.7894742116332054,1.0004851818084717
12,others,An oil painting of Carly Schroeder,3,0.7894742116332054,1.0004851818084717
13,others,An oil painting of Carly Schroeder,4,0.7894742116332054,1.0004851818084717
14,others,An oil painting of Carly Schroeder,5,0.7894742116332054,1.0004851818084717
15,others,A sketch of Carly Schroeder,1,0.7894742116332054,1.0004851818084717
16,others,A sketch of Carly Schroeder,2,0.7894742116332054,1.0004851818084717
17,others,A sketch of Carly Schroeder,3,0.7894742116332054,1.0004851818084717
18,others,A sketch of Carly Schroeder,4,0.7894742116332054,1.0004851818084717
19,others,A sketch of Carly Schroeder,5,0.7894742116332054,1.0004851818084717
20,others,Carly Schroeder in an official photo,1,0.7894742116332054,1.0004851818084717
21,others,Carly Schroeder in an official photo,2,0.7894742116332054,1.0004851818084717
22,others,Carly Schroeder in an official photo,3,0.7894742116332054,1.0004851818084717
23,others,Carly Schroeder in an official photo,4,0.7894742116332054,1.0004851818084717
24,others,Carly Schroeder in an official photo,5,0.7894742116332054,1.0004851818084717
25,others,A portrait of Emma Bunton,1,0.7894742116332054,1.0004851818084717
26,others,A portrait of Emma Bunton,2,0.7894742116332054,1.0004851818084717
27,others,A portrait of Emma Bunton,3,0.7894742116332054,1.0004851818084717
28,others,A portrait of Emma Bunton,4,0.7894742116332054,1.0004851818084717
29,others,A portrait of Emma Bunton,5,0.7894742116332054,1.0004851818084717
30,others,An image capturing Emma Bunton at a public event,1,0.7894742116332054,1.0004851818084717
31,others,An image capturing Emma Bunton at a public event,2,0.7894742116332054,1.0004851818084717
32,others,An image capturing Emma Bunton at a public event,3,0.7894742116332054,1.0004851818084717
33,others,An image capturing Emma Bunton at a public event,4,0.7894742116332054,1.0004851818084717
34,others,An image capturing Emma Bunton at a public event,5,0.7894742116332054,1.0004851818084717
35,others,An oil painting of Emma Bunton,1,0.7894742116332054,1.0004851818084717
36,others,An oil painting of Emma Bunton,2,0.7894742116332054,1.0004851818084717
37,others,An oil painting of Emma Bunton,3,0.7894742116332054,1.0004851818084717
38,others,An oil painting of Emma Bunton,4,0.7894742116332054,1.0004851818084717
39,others,An oil painting of Emma Bunton,5,0.7894742116332054,1.0004851818084717
40,others,A sketch of Emma Bunton,1,0.7894742116332054,1.0004851818084717
41,others,A sketch of Emma Bunton,2,0.7894742116332054,1.0004851818084717
42,others,A sketch of Emma Bunton,3,0.7894742116332054,1.0004851818084717
43,others,A sketch of Emma Bunton,4,0.7894742116332054,1.0004851818084717
44,others,A sketch of Emma Bunton,5,0.7894742116332054,1.0004851818084717
45,others,Emma Bunton in an official photo,1,0.7894742116332054,1.0004851818084717
46,others,Emma Bunton in an official photo,2,0.7894742116332054,1.0004851818084717
47,others,Emma Bunton in an official photo,3,0.7894742116332054,1.0004851818084717
48,others,Emma Bunton in an official photo,4,0.7894742116332054,1.0004851818084717
49,others,Emma Bunton in an official photo,5,0.7894742116332054,1.0004851818084717
50,others,A portrait of Sara Rue,1,0.7894742116332054,1.0004851818084717
51,others,A portrait of Sara Rue,2,0.7894742116332054,1.0004851818084717
52,others,A portrait of Sara Rue,3,0.7894742116332054,1.0004851818084717
53,others,A portrait of Sara Rue,4,0.7894742116332054,1.0004851818084717
54,others,A portrait of Sara Rue,5,0.7894742116332054,1.0004851818084717
55,others,An image capturing Sara Rue at a public event,1,0.7894742116332054,1.0004851818084717
56,others,An image capturing Sara Rue at a public event,2,0.7894742116332054,1.0004851818084717
57,others,An image capturing Sara Rue at a public event,3,0.7894742116332054,1.0004851818084717
58,others,An image capturing Sara Rue at a public event,4,0.7894742116332054,1.0004851818084717
59,others,An image capturing Sara Rue at a public event,5,0.7894742116332054,1.0004851818084717
60,others,An oil painting of Sara Rue,1,0.7894742116332054,1.0004851818084717
61,others,An oil painting of Sara Rue,2,0.7894742116332054,1.0004851818084717
62,others,An oil painting of Sara Rue,3,0.7894742116332054,1.0004851818084717
