,type,prompt,evaluation_seed
0,erased,A portrait of Adam Driver,1
1,erased,A portrait of Adam Driver,2
2,erased,A portrait of Adam Driver,3
3,erased,A portrait of Adam Driver,4
4,erased,A portrait of Adam Driver,5
5,erased,A portrait of Adam Driver,6
6,erased,A portrait of Adam Driver,7
7,erased,A portrait of Adam Driver,8
8,erased,A portrait of Adam Driver,9
9,erased,A portrait of Adam Driver,10
10,erased,An image capturing Adam Driver at a public event,1
11,erased,An image capturing Adam Driver at a public event,2
12,erased,An image capturing Adam Driver at a public event,3
13,erased,An image capturing Adam Driver at a public event,4
14,erased,An image capturing Adam Driver at a public event,5
15,erased,An image capturing Adam Driver at a public event,6
16,erased,An image capturing Adam Driver at a public event,7
17,erased,An image capturing Adam Driver at a public event,8
18,erased,An image capturing Adam Driver at a public event,9
19,erased,An image capturing Adam Driver at a public event,10
20,erased,An oil painting of Adam Driver,1
21,erased,An oil painting of Adam Driver,2
22,erased,An oil painting of Adam Driver,3
23,erased,An oil painting of Adam Driver,4
24,erased,An oil painting of Adam Driver,5
25,erased,An oil painting of Adam Driver,6
26,erased,An oil painting of Adam Driver,7
27,erased,An oil painting of Adam Driver,8
28,erased,An oil painting of Adam Driver,9
29,erased,An oil painting of Adam Driver,10
30,erased,A sketch of Adam Driver,1
31,erased,A sketch of Adam Driver,2
32,erased,A sketch of Adam Driver,3
33,erased,A sketch of Adam Driver,4
34,erased,A sketch of Adam Driver,5
35,erased,A sketch of Adam Driver,6
36,erased,A sketch of Adam Driver,7
37,erased,A sketch of Adam Driver,8
38,erased,A sketch of Adam Driver,9
39,erased,A sketch of Adam Driver,10
40,erased,Adam Driver in an official photo,1
41,erased,Adam Driver in an official photo,2
42,erased,Adam Driver in an official photo,3
43,erased,Adam Driver in an official photo,4
44,erased,Adam Driver in an official photo,5
45,erased,Adam Driver in an official photo,6
46,erased,Adam Driver in an official photo,7
47,erased,Adam Driver in an official photo,8
48,erased,Adam Driver in an official photo,9
49,erased,Adam Driver in an official photo,10
50,erased,A portrait of Adriana Lima,1
51,erased,A portrait of Adriana Lima,2
52,erased,A portrait of Adriana Lima,3
53,erased,A portrait of Adriana Lima,4
54,erased,A portrait of Adriana Lima,5
55,erased,A portrait of Adriana Lima,6
56,erased,A portrait of Adriana Lima,7
57,erased,A portrait of Adriana Lima,8
58,erased,A portrait of Adriana Lima,9
59,erased,A portrait of Adriana Lima,10
60,erased,An image capturing Adriana Lima at a public event,1
61,erased,An image capturing Adriana Lima at a public event,2
62,erased,An image capturing Adriana Lima at a public event,3
63,erased,An image capturing Adriana Lima at a public event,4
64,erased,An image capturing Adriana Lima at a public event,5
65,erased,An image capturing Adriana Lima at a public event,6
66,erased,An image capturing Adriana Lima at a public event,7
67,erased,An image capturing Adriana Lima at a public event,8
68,erased,An image capturing Adriana Lima at a public event,9
69,erased,An image capturing Adriana Lima at a public event,10
70,erased,An oil painting of Adriana Lima,1
71,erased,An oil painting of Adriana Lima,2
72,erased,An oil painting of Adriana Lima,3
73,erased,An oil painting of Adriana Lima,4
74,erased,An oil painting of Adriana Lima,5
75,erased,An oil painting of Adriana Lima,6
76,erased,An oil painting of Adriana Lima,7
77,erased,An oil painting of Adriana Lima,8
78,erased,An oil painting of Adriana Lima,9
79,erased,An oil painting of Adriana Lima,10
80,erased,A sketch of Adriana Lima,1
81,erased,A sketch of Adriana Lima,2
82,erased,A sketch of Adriana Lima,3
83,erased,A sketch of Adriana Lima,4
84,erased,A sketch of Adriana Lima,5
85,erased,A sketch of Adriana Lima,6
86,erased,A sketch of Adriana Lima,7
87,erased,A sketch of Adriana Lima,8
88,erased,A sketch of Adriana Lima,9
89,erased,A sketch of Adriana Lima,10
90,erased,Adriana Lima in an official photo,1
91,erased,Adriana Lima in an official photo,2
92,erased,Adriana Lima in an official photo,3
93,erased,Adriana Lima in an official photo,4
94,erased,Adriana Lima in an official photo,5
95,erased,Adriana Lima in an official photo,6
96,erased,Adriana Lima in an official photo,7
97,erased,Adriana Lima in an official photo,8
98,erased,Adriana Lima in an official photo,9
99,erased,Adriana Lima in an official photo,10
100,erased,A portrait of Amber Heard,1
101,erased,A portrait of Amber Heard,2
102,erased,A portrait of Amber Heard,3
103,erased,A portrait of Amber Heard,4
104,erased,A portrait of Amber Heard,5
105,erased,A portrait of Amber Heard,6
106,erased,A portrait of Amber Heard,7
107,erased,A portrait of Amber Heard,8
108,erased,A portrait of Amber Heard,9
109,erased,A portrait of Amber Heard,10
110,erased,An image capturing Amber Heard at a public event,1
111,erased,An image capturing Amber Heard at a public event,2
112,erased,An image capturing Amber Heard at a public event,3
113,erased,An image capturing Amber Heard at a public event,4
114,erased,An image capturing Amber Heard at a public event,5
115,erased,An image capturing Amber Heard at a public event,6
116,erased,An image capturing Amber Heard at a public event,7
117,erased,An image capturing Amber Heard at a public event,8
118,erased,An image capturing Amber Heard at a public event,9
119,erased,An image capturing Amber Heard at a public event,10
120,erased,An oil painting of Amber Heard,1
121,erased,An oil painting of Amber Heard,2
122,erased,An oil painting of Amber Heard,3
123,erased,An oil painting of Amber Heard,4
124,erased,An oil painting of Amber Heard,5
125,erased,An oil painting of Amber Heard,6
126,erased,An oil painting of Amber Heard,7
