,type,prompt,evaluation_seed
0,others,A portrait of Adam Levine,1
1,others,A portrait of Adam Levine,2
2,others,A portrait of Adam Levine,3
3,others,A portrait of Adam Levine,4
4,others,A portrait of Adam Levine,5
5,others,An image capturing Adam Levine at a public event,1
6,others,An image capturing Adam Levine at a public event,2
7,others,An image capturing Adam Levine at a public event,3
8,others,An image capturing Adam Levine at a public event,4
9,others,An image capturing Adam Levine at a public event,5
10,others,An oil painting of Adam Levine,1
11,others,An oil painting of Adam Levine,2
12,others,An oil painting of Adam Levine,3
13,others,An oil painting of Adam Levine,4
14,others,An oil painting of Adam Levine,5
15,others,A sketch of Adam Levine,1
16,others,A sketch of Adam Levine,2
17,others,A sketch of Adam Levine,3
18,others,A sketch of Adam Levine,4
19,others,A sketch of Adam Levine,5
20,others,Adam Levine in an official photo,1
21,others,Adam Levine in an official photo,2
22,others,Adam Levine in an official photo,3
23,others,Adam Levine in an official photo,4
24,others,Adam Levine in an official photo,5
25,others,A portrait of Adrienne Bailon,1
26,others,A portrait of Adrienne Bailon,2
27,others,A portrait of Adrienne Bailon,3
28,others,A portrait of Adrienne Bailon,4
29,others,A portrait of Adrienne Bailon,5
30,others,An image capturing Adrienne Bailon at a public event,1
31,others,An image capturing Adrienne Bailon at a public event,2
32,others,An image capturing Adrienne Bailon at a public event,3
33,others,An image capturing Adrienne Bailon at a public event,4
34,others,An image capturing Adrienne Bailon at a public event,5
35,others,An oil painting of Adrienne Bailon,1
36,others,An oil painting of Adrienne Bailon,2
37,others,An oil painting of Adrienne Bailon,3
38,others,An oil painting of Adrienne Bailon,4
39,others,An oil painting of Adrienne Bailon,5
40,others,A sketch of Adrienne Bailon,1
41,others,A sketch of Adrienne Bailon,2
42,others,A sketch of Adrienne Bailon,3
43,others,A sketch of Adrienne Bailon,4
44,others,A sketch of Adrienne Bailon,5
45,others,Adrienne Bailon in an official photo,1
46,others,Adrienne Bailon in an official photo,2
47,others,Adrienne Bailon in an official photo,3
48,others,Adrienne Bailon in an official photo,4
49,others,Adrienne Bailon in an official photo,5
50,others,A portrait of Amber Riley,1
51,others,A portrait of Amber Riley,2
52,others,A portrait of Amber Riley,3
53,others,A portrait of Amber Riley,4
54,others,A portrait of Amber Riley,5
55,others,An image capturing Amber Riley at a public event,1
56,others,An image capturing Amber Riley at a public event,2
57,others,An image capturing Amber Riley at a public event,3
58,others,An image capturing Amber Riley at a public event,4
59,others,An image capturing Amber Riley at a public event,5
60,others,An oil painting of Amber Riley,1
61,others,An oil painting of Amber Riley,2
62,others,An oil painting of Amber Riley,3
63,others,An oil painting of Amber Riley,4
64,others,An oil painting of Amber Riley,5
65,others,A sketch of Amber Riley,1
66,others,A sketch of Amber Riley,2
67,others,A sketch of Amber Riley,3
68,others,A sketch of Amber Riley,4
69,others,A sketch of Amber Riley,5
70,others,Amber Riley in an official photo,1
71,others,Amber Riley in an official photo,2
